model,prompt,category,totalApps,bestAt1Correct,bestAt3Correct,bestAt5Correct,bestAt1Accuracy,bestAt3Accuracy,bestAt5Accuracy
deepseek-r1_32b,ObfuscationClassificationV1,ArithmeticBranch,11,6,10,11,0.55,0.91,1.0
deepseek-r1_32b,ObfuscationClassificationV1,CallIndirection,10,0,0,2,0.0,0.0,0.2
deepseek-r1_32b,ObfuscationClassificationV1,ClassRename,10,10,10,10,1.0,1.0,1.0
deepseek-r1_32b,ObfuscationClassificationV1,ConstStringEncryption,10,9,10,10,0.9,1.0,1.0
deepseek-r1_32b,ObfuscationClassificationV1,FieldRename,10,5,8,10,0.5,0.8,1.0
deepseek-r1_32b,ObfuscationClassificationV1,Goto,10,10,10,10,1.0,1.0,1.0
deepseek-r1_32b,ObfuscationClassificationV1,MethodOverload,10,4,7,10,0.4,0.7,1.0
deepseek-r1_32b,ObfuscationClassificationV1,MethodRename,10,6,10,10,0.6,1.0,1.0
deepseek-r1_32b,ObfuscationClassificationV1,Reflection,9,2,4,5,0.22,0.44,0.56
gemma3_27b,ObfuscationClassificationV1,ArithmeticBranch,11,4,11,11,0.36,1.0,1.0
gemma3_27b,ObfuscationClassificationV1,CallIndirection,10,0,1,5,0.0,0.1,0.5
gemma3_27b,ObfuscationClassificationV1,ClassRename,10,10,10,10,1.0,1.0,1.0
gemma3_27b,ObfuscationClassificationV1,ConstStringEncryption,10,9,10,10,0.9,1.0,1.0
gemma3_27b,ObfuscationClassificationV1,FieldRename,10,2,9,10,0.2,0.9,1.0
gemma3_27b,ObfuscationClassificationV1,Goto,10,7,10,10,0.7,1.0,1.0
gemma3_27b,ObfuscationClassificationV1,MethodOverload,10,1,5,10,0.1,0.5,1.0
gemma3_27b,ObfuscationClassificationV1,MethodRename,10,9,10,10,0.9,1.0,1.0
gemma3_27b,ObfuscationClassificationV1,Reflection,9,0,1,5,0.0,0.11,0.56
gpt-4o-mini,ObfuscationClassificationV1,ArithmeticBranch,11,9,11,11,0.82,1.0,1.0
gpt-4o-mini,ObfuscationClassificationV1,CallIndirection,10,1,8,10,0.1,0.8,1.0
gpt-4o-mini,ObfuscationClassificationV1,ClassRename,10,10,10,10,1.0,1.0,1.0
gpt-4o-mini,ObfuscationClassificationV1,ConstStringEncryption,10,9,10,10,0.9,1.0,1.0
gpt-4o-mini,ObfuscationClassificationV1,FieldRename,10,8,9,10,0.8,0.9,1.0
gpt-4o-mini,ObfuscationClassificationV1,Goto,10,10,10,10,1.0,1.0,1.0
gpt-4o-mini,ObfuscationClassificationV1,MethodOverload,10,7,10,10,0.7,1.0,1.0
gpt-4o-mini,ObfuscationClassificationV1,MethodRename,10,8,10,10,0.8,1.0,1.0
gpt-4o-mini,ObfuscationClassificationV1,Reflection,9,2,5,6,0.22,0.56,0.67
gpt-5-mini,ObfuscationClassificationV1,ArithmeticBranch,11,10,11,11,0.91,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,CallIndirection,10,8,10,10,0.8,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,ClassRename,10,10,10,10,1.0,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,ConstStringEncryption,10,10,10,10,1.0,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,FieldRename,10,9,10,10,0.9,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,Goto,10,10,10,10,1.0,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,MethodOverload,10,8,10,10,0.8,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,MethodRename,10,8,10,10,0.8,1.0,1.0
gpt-5-mini,ObfuscationClassificationV1,Reflection,9,3,4,6,0.33,0.44,0.67
gpt-oss_20b,ObfuscationClassificationV1,ArithmeticBranch,11,10,11,11,0.91,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,CallIndirection,10,0,10,10,0.0,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,ClassRename,10,10,10,10,1.0,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,ConstStringEncryption,10,10,10,10,1.0,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,FieldRename,10,8,10,10,0.8,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,Goto,10,10,10,10,1.0,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,MethodOverload,10,7,10,10,0.7,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,MethodRename,10,8,10,10,0.8,1.0,1.0
gpt-oss_20b,ObfuscationClassificationV1,Reflection,9,3,4,5,0.33,0.44,0.56
qwen3_30b,ObfuscationClassificationV1,ArithmeticBranch,11,10,11,11,0.91,1.0,1.0
qwen3_30b,ObfuscationClassificationV1,CallIndirection,10,0,2,10,0.0,0.2,1.0
qwen3_30b,ObfuscationClassificationV1,ClassRename,10,10,10,10,1.0,1.0,1.0
qwen3_30b,ObfuscationClassificationV1,ConstStringEncryption,10,9,10,10,0.9,1.0,1.0
qwen3_30b,ObfuscationClassificationV1,FieldRename,10,8,10,10,0.8,1.0,1.0
qwen3_30b,ObfuscationClassificationV1,Goto,10,10,10,10,1.0,1.0,1.0
qwen3_30b,ObfuscationClassificationV1,MethodOverload,10,7,10,10,0.7,1.0,1.0
qwen3_30b,ObfuscationClassificationV1,MethodRename,10,8,10,10,0.8,1.0,1.0
qwen3_30b,ObfuscationClassificationV1,Reflection,9,2,3,4,0.22,0.33,0.44
